"PROBEID","SYMBOL","GENENAME","young_trf2","young_old","old_trf2","AveExpr","F","P.Value","adj.P.Val"
"16667702","VCAM1","vascular cell adhesion molecule 1",1.60105127697402,1.80768630449699,-0.206635027522969,9.25228259634512,490.392875511616,2.76275604965973e-11,3.72678517442627e-08
"16689650","DIPK1A","divergent protein kinase domain 1A",0.396874995580777,1.02232121235861,-0.62544621677783,10.4498174676843,98.0022704900164,1.258264907277e-07,1.37402015343118e-05
"16725065","DTX4","deltex E3 ubiquitin ligase 4",0.200613218818711,1.19267733405514,-0.992064115236426,9.00037531612655,129.21426902773,3.04836202679663e-08,4.66982933687871e-06
"16732807","VWA5A","von Willebrand factor A domain containing 5A",0.333136354267662,1.01012828302997,-0.676991928762307,9.21225892782465,173.607570260425,6.589439137845e-09,1.5870712952581e-06
"16744205","ARHGAP20","Rho GTPase activating protein 20",0.287128729235372,1.03259197802742,-0.745463248792051,8.65731509940608,85.5734800174157,2.504318534388e-07,2.22676694624015e-05
"16748227","KLRF1","killer cell lectin like receptor F1",0.435247198183488,1.07250040524906,-0.637253207065571,5.47480673393339,10.1314807662874,0.00336576236969998,0.0281268829451689
"16755712","ANO4","anoctamin 4",0.716942879946641,1.60661497586789,-0.889672095921247,10.4925102205279,305.408289764116,3.39746386528176e-10,1.68668351911863e-07
"16803754","CEMIP","cell migration inducing hyaluronidase 1",2.02035197987145,1.06703698961464,0.953314990256816,10.0418023012989,684.145746728391,4.69374646992477e-12,1.19840287846646e-08
"16826460","SALL1","spalt like transcription factor 1",0.481695946724894,1.34540321473221,-0.863707268007312,9.22596897252177,115.790440151279,5.36118119223727e-08,7.15050875582551e-06
"16849268","CYGB","cytoglobin",0.60742652811115,1.04672647456204,-0.439299946450886,10.0515803547943,117.746823717472,4.91905989638748e-08,6.69404148387329e-06
"16852966","CCDC102B","coiled-coil domain containing 102B",0.85492712338385,1.46966147443163,-0.614734351047776,8.77842342247833,145.548816683208,1.64724465970412e-08,3.03506243709126e-06
"16914861","RIPOR3-AS1","RIPOR3 antisense RNA 1",0.160026369550232,1.00849962617375,-0.848473256623518,6.39757884138365,36.863409623457,1.54350235133119e-05,0.00049794203111507
"16955822","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9",0.649650233517901,1.11167634024558,-0.46202610672768,7.75095953994613,136.856881794705,2.26557907692759e-08,3.73764779592697e-06
"16978444","MANBA","mannosidase beta",0.152607315320523,1.02190784940097,-0.869300534080443,9.29600892443228,139.935488642794,2.01933006048753e-08,3.50389708262653e-06
"17059165","HGF","hepatocyte growth factor",1.22008356215047,1.00690165962784,0.213181902522621,10.8103313822113,336.369289004756,2.03958239798261e-10,1.13301798660305e-07
"17072110","COLEC10","collectin subfamily member 10",0.247708792461374,1.03137974609615,-0.783670953634779,7.88383196146047,75.1462678300012,4.81791452746397e-07,3.55815596720435e-05
"17074896","SGCZ","sarcoglycan zeta",0.211155707628639,1.06454100756233,-0.853385299933693,7.66999011600175,76.5449669091832,4.39208538621556e-07,3.34028995961305e-05
"17078190","TRPA1","transient receptor potential cation channel subfamily A member 1",1.8355569821249,1.40803247805525,0.427524504069648,10.7641309892146,480.953813118976,3.06337863527488e-11,3.81974819273333e-08
"16667456","PTBP2","polypyrimidine tract binding protein 2",-0.487680862486231,-1.09018229264089,0.602501430154662,9.96595862071548,65.1323371751063,9.8350298504509e-07,6.02656909133287e-05
"16667925","NTNG1","netrin G1",-0.59080051984818,-1.08154835504704,0.490747835198863,8.08207447270361,135.596131387251,2.37660291616633e-08,3.87314038164408e-06
"16672214","PEAR1","platelet endothelial aggregation receptor 1",-0.0994389426590221,-1.08415646327547,0.984717520616443,8.63262410188266,97.1778399757743,1.31358201323759e-07,1.42571511748502e-05
"16705507","SRGN","serglycin",-2.10724080830374,-1.98928175099859,-0.11795905730515,8.44741309989832,394.506131897788,8.76847857368532e-11,7.11590132922555e-08
"16743686","MMP8","matrix metallopeptidase 8",-0.375448751222335,-1.32560393590659,0.95015518468426,7.04039691581885,90.0518076069576,1.9342875719727e-07,1.87646273067236e-05
"16743721","MMP1","matrix metallopeptidase 1",-0.378840963936444,-1.08062547694304,0.701784513006595,12.1316636533588,212.302370425384,2.30199348690451e-09,7.36771521273222e-07
"16762154","ABCC9","ATP binding cassette subfamily C member 9",-0.590400264478813,-1.08219888466287,0.491798620184053,8.47882920350828,69.8956884257121,6.92176516664313e-07,4.70969902208001e-05
"16788661","SNORD114-13","small nucleolar RNA, C/D box 114-13",-0.266307447497382,-1.15238566014649,0.886078212649104,7.10799707798964,25.0106570029876,9.06002725406078e-05,0.00192766460825784
"16788780","MIR154","microRNA 154",-1.62551231108309,-1.06641375352229,-0.559098557560794,5.87556802422862,11.1719081118369,0.00237422432558891,0.0217196358411705
"16811638","SEMA7A","semaphorin 7A (John Milton Hagen blood group)",-0.193154191288775,-1.1139908252193,0.920836633930529,9.61978640283363,88.3386531777875,2.13204344403197e-07,1.99500477030824e-05
"16824352","XYLT1","xylosyltransferase 1",-0.274690058243598,-1.08277321257991,0.808083154336311,10.1422201502148,181.022540570526,5.29809922284112e-09,1.32742143005174e-06
"16850650","GAPLINC","gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA",-0.100687169606905,-1.04497552642211,0.944288356815203,7.03140217649659,28.9448065469132,4.70973904375938e-05,0.00116962518901921
"16852389","DCC","DCC netrin 1 receptor",-0.6403040937378,-1.63727223554781,0.996968141810012,8.0674705395059,159.339415282697,1.02970492086813e-08,2.28139209678456e-06
"16865153","CACNG7","calcium voltage-gated channel auxiliary subunit gamma 7",-0.230352487665377,-1.05961833841382,0.829265850748441,7.69960034974811,25.0016435061489,9.0744825576433e-05,0.00192920908522268
"16874097","HSD17B14","hydroxysteroid 17-beta dehydrogenase 14",-0.393643310154852,-1.03387710370484,0.640233793549992,7.66982061478298,118.398184713061,4.78155311719244e-08,6.54011565011498e-06
"16896561","CYP1B1","cytochrome P450 family 1 subfamily B member 1",-0.637169258216231,-1.59243895806048,0.95526969984425,8.7728624647407,234.463105344992,1.36729427178087e-09,5.19930616809043e-07
"16944251","GAP43","growth associated protein 43",-0.0928037841173284,-1.06011455757323,0.967310773455902,7.84688054177979,18.8765715291118,0.000304340326652922,0.00473958132276895
"16965162","CPEB2","cytoplasmic polyadenylation element binding protein 2",-0.163258824217628,-1.00147472494175,0.838215900724123,9.70602700740111,91.8952908343943,1.74529746178093e-07,1.75897770692309e-05
"16967843","EREG","epiregulin",-0.71546641422468,-1.00978289693981,0.29431648271513,8.52027185845855,58.3523725260811,1.69321579857504e-06,9.17021732042405e-05
"16968213","ANXA3","annexin A3",-0.695615743762666,-1.0711714608387,0.375555717076033,8.96684254879307,43.8813491356019,6.75777540648851e-06,0.000260857332327832
"17013657","ULBP1","UL16 binding protein 1",-1.7493857113803,-1.21910585091431,-0.530279860465994,8.50191491214612,121.728998929581,4.14572281376036e-08,5.83415275867164e-06
"17069521","TRIM55","tripartite motif containing 55",-1.02084416446886,-1.2844878945294,0.263643730060535,8.66039998494936,126.526939175577,3.3972918941089e-08,5.09342882609456e-06
"17092490","NFIB","nuclear factor I B",-0.910159469389034,-1.25460328233619,0.344443812947158,7.93172975735965,181.410088442374,5.2392996056096e-09,1.32742143005174e-06
"17102210","PDK3","pyruvate dehydrogenase kinase 3",-0.167638128770459,-1.00935785208914,0.841719723318682,7.67235345077667,45.843443922885,5.47832542934178e-06,0.000221016835624544
"17105939","RNF128","ring finger protein 128",-0.191828805491888,-1.03869997085329,0.846871165361399,7.72790238661299,42.1449527798759,8.19512341976524e-06,0.000302824212541387
"17106997","STK26","serine/threonine kinase 26",-0.955063077480945,-1.15362755374118,0.198564476260234,8.42474763005361,173.550029970439,6.60083366921975e-09,1.5870712952581e-06
"17110365","MIR221","microRNA 221",-1.03882577193491,-1.30411355679747,0.265287784862558,8.766566811286,9.05077912828582,0.00496230487505686,0.0371857303264743
"17117888","ZEB2","zinc finger E-box binding homeobox 2",-1.2751749658625,-1.10421428803906,-0.170960677823442,5.27969146271233,17.1546713751529,0.00045210160767519,0.00634563662270175
"17123648","EVA1C","eva-1 homolog C",-0.0566789241632613,-1.05117533112596,0.994496406962703,7.26237959797051,46.2295043840764,5.26167240078562e-06,0.000213400218693587
"17126212","ADAM12","ADAM metallopeptidase domain 12",-0.0292877001556215,-1.00387754402176,0.974589843866141,5.7318968425657,18.9917217157426,0.000296691264059162,0.00465545668863333
